full_text;cleaned;cleaned_token;count;sentiment
LRT Jabodebek Layani 7.253.325 Pengguna selama 6 Bulan Beroperasi #LRT #Jabodetabek  https://t.co/EY6LGIWlzA;lrt jabodebek layani pengguna beroperasi lrt jabodetabek;['lrt', 'jabodebek', 'layani', 'pengguna', 'beroperasi', 'lrt', 'jabodetabek'];0;netral
@lrtjabodebek bisa pake gopay ga ? Selain pake emoney flazz atu sejenisnya;pake gopay pake emoney flazz atu;['pake', 'gopay', 'pake', 'emoney', 'flazz', 'atu'];0;netral
@rafenditya Yang bikin pada beda2 ??  Dukuh Atas - TJ JPO - DBM Galunggung - Lrt Jabodebek.  Pas bangun masing-masing, curiga pada ga ngobrol intensif;bikin beda?? dukuh tj jpo dbm galunggung lrt jabodebek bangun masingmasing curiga ngobrol intensif;['bikin', 'beda\U0001fae3', 'dukuh', 'tj', 'jpo', 'dbm', 'galunggung', 'lrt', 'jabodebek', 'bangun', 'masingmasing', 'curiga', 'ngobrol', 'intensif'];0;netral
LRT Jabodebek telah melayani 7.253.325 pengguna. Bahkan, pada 3 bulan terakhir jumlah pengguna LRT Jabodebek terus mengalami pertumbuhan. Hal ini menunjukkan minat dan antusiasme masyarakat menggunakan LRT Jabodebek semakin meningkat.  https://t.co/K7wGuxXUVx https://t.co/QMn7b8uZOS;lrt jabodebek melayani pengguna pengguna lrt jabodebek mengalami pertumbuhan hal minat antusiasme masyarakat lrt jabodebek meningkat;['lrt', 'jabodebek', 'melayani', 'pengguna', 'pengguna', 'lrt', 'jabodebek', 'mengalami', 'pertumbuhan', 'hal', 'minat', 'antusiasme', 'masyarakat', 'lrt', 'jabodebek', 'meningkat'];3;positif
@lrtjabodebek halo, Kak. Jadwal keberangkatan terakhir dr stasiun halim jam berapa ya?;halo kak jadwal keberangkatan dr stasiun halim jam;['halo', 'kak', 'jadwal', 'keberangkatan', 'dr', 'stasiun', 'halim', 'jam'];0;netral
Berkaca dr proyek MRT &amp  LRT Jabodebek, bikin depo itu ga murah. Susah cari lahan yg luas &amp  bentuknya kotak di tengah kota.;berkaca dr proyek mrt amp lrt jabodebek bikin depo murah susah cari lahan luas amp bentuknya kotak kota;['berkaca', 'dr', 'proyek', 'mrt', 'amp', 'lrt', 'jabodebek', 'bikin', 'depo', 'murah', 'susah', 'cari', 'lahan', 'luas', 'amp', 'bentuk', 'nya', 'kotak', 'kota'];0;netral
Sejak beroperasi lebih dari 6 bulan lalu, LRT Jabodebek telah melayani 7.253.325 pengguna. https://t.co/OqRFa1Tov4;beroperasi lrt jabodebek melayani pengguna;['beroperasi', 'lrt', 'jabodebek', 'melayani', 'pengguna'];0;netral
Moda transportasi Light Rail Transit (LRT) Jabodebek telah melayani 7.253.325 pengguna sejak beroperasi lebih dari 6 bulan lalu. https://t.co/5kumsn03sC;moda transportasi light rail transit lrt jabodebek melayani pengguna beroperasi;['moda', 'transportasi', 'light', 'rail', 'transit', 'lrt', 'jabodebek', 'melayani', 'pengguna', 'beroperasi'];0;netral
@lrtjabodebek hii min, untuk hari ini keberangkatan terakhir route harjamukti-dukuh atas jam berapa yaaahhh???????;hii min keberangkatan route harjamuktidukuh jam yaaahhh??????;['hii', 'min', 'keberangkatan', 'route', 'harjamuktidukuh', 'jam', 'yaaahhh??????'];0;netral
Jumlah Pengguna LRT Jabodebek Naik 3 Bulan Terakhir, KAI Ungkap Pendongkraknya https://t.co/hXB576pu5y;pengguna lrt jabodebek kai pendongkraknya;['pengguna', 'lrt', 'jabodebek', 'kai', 'pendongkrak', 'nya'];1;positif
